Id,SalePrice
1461,121985.68132077242
1462,154455.44849020927
1463,185441.73808132656
1464,200398.48886519906
1465,183830.09030325498
1466,170973.71137117402
1467,178530.45245500808
1468,165678.0594803334
1469,182898.7770228932
1470,123167.53186169917
1471,184043.20947823706
1472,94765.30728435876
1473,92917.75648018971
1474,150433.5239746124
1475,125238.52356022652
1476,363089.97917685757
1477,243538.58118546754
1478,295842.9662503525
1479,257971.22098285926
1480,488400.04900694237
1481,327101.0278743922
1482,204196.40831141546
1483,168612.36480591906
1484,161048.56618255458
1485,175762.83077161747
1486,193612.25484333897
1487,342681.2779982036
1488,226890.87646442244
1489,201306.81956032847
1490,222601.8463746544
1491,185153.4432230194
1492,91533.91693927524
1493,184834.04396606333
1494,297539.7224899174
1495,300036.9054687365
1496,237362.62887432787
1497,178824.37023151756
1498,156187.6272572484
1499,155979.90237385326
1500,152971.31108186962
1501,175854.57601441868
1502,150098.78761676964
1503,274250.8745412612
1504,245300.8699348472
1505,230656.61771393768
1506,192436.02583203395
1507,242907.9070570755
1508,195257.50670943529
1509,163430.24199849684
1510,147714.27067641017
1511,144912.85912408808
1512,174250.44088745545
1513,135318.36173049192
1514,150880.784224096
1515,179842.54095987507
1516,147175.4999090523
1517,162554.4183415009
1518,129400.96631346422
1519,210610.61734148566
1520,135268.9688242166
1521,135336.9272827449
1522,166537.43680133985
1523,111417.16371821151
1524,122815.51753461777
1525,121759.04166125081
1526,110232.39168457879
1527,105845.0127900147
1528,130325.95073784384
1529,147623.23714350196
1530,176240.60969503404
1531,108312.56892408074
1532,94595.44825340938
1533,141078.775648208
1534,117605.36747579752
1535,146753.07902464663
1536,105359.06064840415
1537,59161.217192761345
1538,146307.08526788044
1539,194011.7958182661
1540,88399.44054011772
1541,135564.87599328737
1542,134174.33448970027
1543,198727.39643759443
1544,79459.70801300582
1545,97553.18013521672
1546,131803.0054756722
1547,130709.43482032134
1548,131180.33340636228
1549,112935.92043722708
1550,137037.85087207265
1551,106888.49000882966
1552,131401.89732722266
1553,147620.9972983714
1554,114203.47840877954
1555,172967.6162743905
1556,88678.68887373192
1557,105263.69248420713
1558,93832.54035538231
1559,88714.41023492775
1560,134567.3215535196
1561,134450.64615656625
1562,130342.24808112752
1563,121372.67211744993
1564,155586.0247131338
1565,147004.1088394489
1566,236611.6401960037
1567,70903.63092339653
1568,246231.62357265918
1569,131201.82537805493
1570,134219.9845069662
1571,119430.02500330536
1572,144213.19110581902
1573,245311.7000931511
1574,104559.66212942734
1575,228832.87725502436
1576,241303.41763507793
1577,192008.75670769767
1578,147151.9639656569
1579,142745.27938250103
1580,190106.9203238743
1581,156994.91013409244
1582,129175.13573115069
1583,312119.8934117404
1584,227572.81161714921
1585,141707.44426060206
1586,65593.70703380744
1587,95857.79264295008
1588,156203.02795200332
1589,93106.92243335127
1590,129447.05149988126
1591,93692.452467529
1592,113335.75548404329
1593,129613.45495908022
1594,132875.4547749465
1595,103461.14609770513
1596,231185.852947572
1597,189568.9730544831
1598,197015.11896262117
1599,172272.93843758016
1600,159750.23074630933
1601,58882.8319210481
1602,110513.03502200957
1603,78966.37221344489
1604,262630.626542078
1605,232558.10859490107
1606,166035.08290613396
1607,153704.0443445137
1608,217310.005454638
1609,189670.74694527595
1610,157338.1960599056
1611,136471.29350193424
1612,159113.9498274887
1613,153600.23166147922
1614,126713.9885276061
1615,86195.34450698468
1616,70659.52508706559
1617,87131.79941232436
1618,126388.4671678956
1619,139563.3122012572
1620,148834.82488763513
1621,127906.27340530884
1622,144652.74378527934
1623,263960.94725854835
1624,209439.49763203954
1625,119048.88454321008
1626,160147.9432433586
1627,188944.824989949
1628,276855.28106999554
1629,177322.26825459942
1630,348557.55890437384
1631,206911.4197594796
1632,232661.47261440853
1633,170731.44077630952
1634,186920.305218946
1635,179102.12299033636
1636,155256.36470958855
1637,194765.4985077762
1638,194106.08938141353
1639,182877.1019382982
1640,261474.10338049685
1641,185463.83890194335
1642,238380.98192457945
1643,229038.08262477044
1644,234426.73754923613
1645,209220.90216998587
1646,162683.44015770248
1647,151640.16765638892
1648,130688.6522894278
1649,141778.21891073286
1650,110501.0483314973
1651,122872.80832360026
1652,92177.11007740277
1653,94624.12597806354
1654,146614.27266675545
1655,141402.81847726248
1656,139767.19110150856
1657,145490.39675369742
1658,144946.66463582302
1659,131811.80387456145
1660,153607.5289987223
1661,455566.9790979113
1662,387962.95785295905
1663,403685.8427598329
1664,451081.5577246774
1665,301651.405674643
1666,334623.9312265117
1667,367967.3446351102
1668,339268.36106619914
1669,303385.40640738903
1670,359132.5552196563
1671,269402.9741886
1672,446704.8356121034
1673,303434.15163471806
1674,241402.932884755
1675,189299.30035225727
1676,193363.65711793164
1677,219908.51037649714
1678,438801.65322581824
1679,400334.9965658116
1680,335382.4996486804
1681,251112.29587780705
1682,311572.6159944524
